ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
4062,3.178,139.3346,324.6654,4205.189
4063,3.1782,139.6614,325.3386,4207.7886
4064,3.183,139.994,326.006,4235.3496
4065,3.1834,140.3262,326.6738,4235.3496
4066,3.1982,140.6626,327.3374,4262.957
4067,3.209,140.9966,328.0034,4275.1616
4068,3.2122,141.3336,328.6664,4289.6943
4069,3.2204,141.6644,329.3356,4295.054
4070,3.2254,142.0012,329.9988,4315.2734
4071,3.2302,142.3392,330.6608,4322.158
4072,3.2302,142.6772,331.3228,4322.158
4073,3.2306,143.0148,331.9852,4322.158
4074,3.2308,143.3522,332.6478,4322.158
4075,3.231,143.6894,333.3106,4322.158
4076,3.231,144.0266,333.9734,4322.158
4077,3.2488,144.3494,334.6506,4327.0977
4078,3.2542,144.6786,335.3214,4351.346
4079,3.2542,145.0078,335.9922,4351.346
4080,3.2726,145.3416,336.6584,4399.6655
4081,3.2728,145.6752,337.3248,4399.6655
4082,3.2738,146.0092,337.9908,4402.2393
4083,3.2738,146.3432,338.6568,4402.2393
4084,3.2742,146.6768,339.3232,4402.2393
4085,3.2784,147.0136,339.9864,4416.6714
4086,3.2836,147.3554,340.6446,4432.297
4087,3.2896,147.694,341.306,4437.3545
4088,3.3038,148.028,341.972,4458.5464
4089,3.3038,148.362,342.638,4458.5464
4090,3.3134,148.6864,343.3136,4458.5464
4091,3.3186,149.007,343.993,4461.828
4092,3.335,149.323,344.677,4479.5225
4093,3.3358,149.6392,345.3608,4482.088
4094,3.3364,149.9548,346.0452,4482.088
4095,3.3436,150.2724,346.7276,4494.196
4096,3.348,150.5916,347.4084,4505.2246
4097,3.348,150.9108,348.0892,4505.2246
4098,3.349,151.2322,348.7678,4509.8735
4099,3.356,151.5532,349.4468,4519.4624
4100,3.381,151.866,350.134,4546.055
4101,3.3944,152.172,350.828,4557.6514
4102,3.401,152.482,351.518,4573.0513
4103,3.404,152.7896,352.2104,4574.4575
4104,3.404,153.0972,352.9028,4574.4575
4105,3.4046,153.4042,353.5958,4574.4575
4106,3.4046,153.7112,354.2888,4574.4575
4107,3.4046,154.0182,354.9818,4574.4575
4108,3.4046,154.3252,355.6748,4574.4575
4109,3.41,154.6358,356.3642,4590.247
4110,3.4166,154.9526,357.0474,4604.118
4111,3.4176,155.2684,357.7316,4604.118
4112,3.4178,155.584,358.416,4604.118
4113,3.4284,155.8908,359.1092,4607.8184
4114,3.4424,156.2004,359.7996,4630.5415
4115,3.4472,156.5094,360.4906,4634.9097
4116,3.4472,156.8184,361.1816,4634.9097
4117,3.4662,157.129,361.871,4659.7153
4118,3.478,157.4278,362.5722,4659.7153
4119,3.4914,157.7178,363.2822,4666.3994
4120,3.4914,158.0078,363.9922,4666.3994
4121,3.5012,158.299,364.701,4679.837
4122,3.5012,158.5902,365.4098,4679.837
4123,3.5018,158.8808,366.1192,4679.837
4124,3.516,159.1588,366.8412,4683.9976
4125,3.5234,159.4324,367.5676,4688.355
4126,3.532,159.6974,368.3026,4688.355
4127,3.545,159.9714,369.0286,4720.3184
4128,3.548,160.2424,369.7576,4720.3184
4129,3.5522,160.5148,370.4852,4728.4546
4130,3.5522,160.7872,371.2128,4728.4546
4131,3.5668,161.0554,371.9446,4747.57
4132,3.5722,161.3284,372.6716,4762.3896
4133,3.578,161.5956,373.4044,4762.3896
4134,3.5836,161.8688,374.1312,4781.0938
4135,3.5836,162.142,374.858,4781.0938
4136,3.5932,162.4112,375.5888,4786.9175
4137,3.5932,162.6812,376.3188,4788.08
4138,3.5932,162.9512,377.0488,4788.08
4139,3.5936,163.2244,377.7756,4793.8687
4140,3.6158,163.4946,378.5054,4830.576
